username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018-08-20 05:47;0;0;"Trying our best to overcome our worst fears and help our brothers and sisters with what have from St.Dominic KCYM. Kerala was strong and always will be. #RebuildKerala #KeralaFloodsRelief #KeralaFlooding #KeralaFlood #Keralaflood2018 #KeralaFloodHeros pic.twitter.com/WFQI53mcpx";;;#RebuildKerala #KeralaFloodsRelief #KeralaFlooding #KeralaFlood #Keralaflood2018 #KeralaFloodHeros;"1031334285960196097";https://twitter.com/Cliff_patric/status/1031334285960196097
;2018-08-20 05:09;0;0;"REINSTATING NORMAL TRAIN SERVICES Due to early completion of restoration works in the division, all passenger/express train services except the following, will be resuming from today (20th August 2018) and running based on the scheduled timings. #KeralaFloodRelief #KeralaFlood";;;#KeralaFloodRelief #KeralaFlood;"1031324731281043456";https://twitter.com/mkananthTOI/status/1031324731281043456
;2018-08-20 03:30;33;36;"More than 800,000 people have been displaced in Kerala, as the death toll from the worst flooding to hit the southern Indian state jumped to at least 370, with losses to infrastructure pegged at almost $3bn. #KeralaFlood #WeDontHaveTime pic.twitter.com/UjAx5j9hqt";;;#KeralaFlood #WeDontHaveTime;"1031299795497959431";https://twitter.com/WeDontHaveTime0/status/1031299795497959431
;2018-08-20 02:32;0;10;"All parties n all Kerala worked but our fishermen saved more than 50,000 life’s from where our army n NDRF team could not reach. They worked tirelessly day and night where forces stopped working in the night. Big thanks 4 all helped in this devastating situations. #Keralaflood .";;;#Keralaflood;"1031285282769920000";https://twitter.com/PremBal73733930/status/1031285282769920000
;2018-08-20 02:03;0;0;"This guy’s bio says it all #AnthemCommi #Gauvmata #Warned = #HateHindus = #HateBjp = #HateModi = #HateIndia = #HateArmy .... n now same A$$$ is complaining tht Not sufficient HELP from Army ... this r the same laal salam who defame Indian Army day in day out #KeralaFlood https:// twitter.com/pratheesh/stat us/1030707684020871169 …";;;#AnthemCommi #Gauvmata #Warned #HateHindus #HateBjp #HateModi #HateIndia #HateArmy #KeralaFlood;"1031278003677011968";https://twitter.com/localvirar/status/1031278003677011968
;2018-08-20 02:00;5;44;"#KeralaFloods : Red alert withdrawn from all districts, relief and rescue continue. Read more: http:// goo.gl/Lj2pxN Here’s how you can help #KeralaFlood victims: http:// goo.gl/rGiu99 pic.twitter.com/6G2o9VBMs7";;;#KeralaFloods #KeralaFlood;"1031277123045089281";https://twitter.com/ndtv/status/1031277123045089281
;2018-08-20 01:40;0;0;"Keralite working in Oman got fired from his job for posting insensitive comments about #KeralaFlood victims. Rahul Palayattu working in the Lulu Group had made fun of the sanitary needs of the flood victims on a Facebook, Commented "Shall I send some Condoms as relief material"";;;#KeralaFlood;"1031272311196930048";https://twitter.com/RashidShams12/status/1031272311196930048
;2018-08-20 01:27;0;0;"@iIakobos Tribute to Sri P Raghunath - RSS volunteer from Palakkad who lost his life trying to save others in rescue operations. Om Shanti. #KeralaFlood pic.twitter.com/H2WAc09qd1";;@iIakobos;#KeralaFlood;"1031268895993151489";https://twitter.com/Amudhu8/status/1031268895993151489
;2018-08-20 01:18;0;1;"This two gentleman working with us they are from Hyderabad they asked me we needed to do something for Kerala they purchase basic needs and they are handover to KMCC Dubai to send Kerala #KeralaFloods2018 #keralaflood #HyderabadStandWithkerala pic.twitter.com/zgJym4hpzU";;;#KeralaFloods2018 #keralaflood #HyderabadStandWithkerala;"1031266761352589312";https://twitter.com/jafarkondotty/status/1031266761352589312
;2018-08-20 01:06;0;0;"@AdvaitaKala Let ask you something. What actually you get from spreading fake news? Even if you know it is fake, you will share. Do that says you never do anything in the correct? I should have asked you something but #KeralaFloods #KeralaFlood #KeralaReliefFund #FakeNews";;@AdvaitaKala;#KeralaFloods #KeralaFlood #KeralaReliefFund #FakeNews;"1031263533726486528";https://twitter.com/nj_nijesh/status/1031263533726486528
;2018-08-20 01:01;0;1;"A Big Salute To Emir of Qatar HH Sheikh Tamim Bin Hamad Al Thani for his contribution of $5Million to Kerala Flood. From the bottom my heart big thanks to residents of Qatar.Allah Bless you all. #StandWithKerala @vijayanpinarayi #KeralaFlood #CMOKerala #CMDRF #Qatar @TamimBinHamad";;@vijayanpinarayi @TamimBinHamad;#StandWithKerala #KeralaFlood #CMOKerala #CMDRF #Qatar;"1031262289851236352";https://twitter.com/RRazdhan/status/1031262289851236352
;2018-08-20 00:38;11;8;"As received from Sanghoo Watsapp group? #KeralaFlood https:// twitter.com/AdvaitaKala/st atus/1030681838589804544 …";;;#KeralaFlood;"1031256549082058752";https://twitter.com/Mayavi101/status/1031256549082058752
;2018-08-20 00:14;10;22;"Need water,detol,Bleaching powder,candle,phenoyile,mosquito killer(Candle) ,washing powder etc.. . Kindly provide lunch for 50 People if you can -Location . Kadukutty (Anglo indian school) Right from divine ,muringoor( From chalakudy) #KeralaFlood #KeralaFloodReleif";;;#KeralaFlood #KeralaFloodReleif;"1031250532118224896";https://twitter.com/Forumreelz/status/1031250532118224896
